Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count
28/10/2024 18:53,p,"363,84","2,75",34
28/10/2024 18:53,a,"81,51","12,27",34
28/10/2024 18:53,p,114,"8,77",34
28/10/2024 18:53,a,96,"10,42",34
28/10/2024 18:53,[BACKSPACE],"519,07","1,93",35
28/10/2024 18:53,´,"159,01","6,29",35
28/10/2024 18:53,a,"110,02","9,09",35
28/10/2024 18:53,",","290,96","3,44",35
28/10/2024 18:53,[SPACE],"127,18","7,86",35
28/10/2024 18:53,c,"100,36","9,96",35
28/10/2024 18:53,o,46,"21,74",35
28/10/2024 18:53,m,"191,02","5,23",35
28/10/2024 18:53,o,"185,99","5,38",35
28/10/2024 18:53,[SPACE],"63,98","15,63",35
28/10/2024 18:53,t,78,"12,82",35
28/10/2024 18:53,e,104,"9,62",35
28/10/2024 18:53,[SPACE],"141,04","7,09",35
28/10/2024 18:53,q,"68,98","14,5",35
28/10/2024 18:53,u,"121,99","8,2",35
28/10/2024 18:53,e,"54,99","18,19",35
28/10/2024 18:53,d,"168,81","5,92",35
28/10/2024 18:53,a,"77,27","12,94",35
28/10/2024 18:53,s,"386,65","2,59",35
28/10/2024 18:53,",","187,41","5,34",35
28/10/2024 18:53,[SPACE],"158,9","6,29",35
28/10/2024 18:53,a,"77,08","12,97",35
28/10/2024 18:53,h,"122,86","8,14",35
28/10/2024 18:53,o,"214,3","4,67",35
28/10/2024 18:53,r,42,"23,81",35
28/10/2024 18:53,a,81,"12,35",35
